Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
1,Ågesta,59.206000,18.082900,Sweden,SE,Shutdown,PHWR,,1957-12-01,1964-05-01,1974-06-02,9,2015-05-24T04:51:37+03:00,WNA/IAEA,528
2,Akademik Lomonosov-1,69.709579,170.306250,Russia,RU,Operational,PWR,KLT-40S 'Floating',2007-04-15,2020-05-22,,30,2021-05-31,WNA/IAEA/Google Maps,895
3,Akademik Lomonosov-2,69.709579,170.306250,Russia,RU,Operational,PWR,KLT-40S 'Floating',2007-04-15,2020-05-22,,30,2021-05-31,WNA/IAEA/Google Maps,896
4,Akhvaz-1,,,Iran,IR,Planned,,,,,,,,WNA,
5,Akhvaz-2,,,Iran,IR,Planned,,,,,,,,WNA,
6,Akkuyu-1,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,2018-04-03,,,1114,2018-07-01T01:21:08+03:00,WNA/Wikipedia/IAEA,553
7,Akkuyu-2,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,2020-04-08,,,1114,2020-08-31T01:39:56+03:00,Wikipedia/IAEA,1080
8,Akkuyu-3,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,2021-03-10,,,1114,2021-04-20T02:47:37+03:00,Wikipedia/IAEA,1081
9,Akkuyu-4,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,2022-07-21,,,1114,2022-09-24T22:33:57+03:00,Wikipedia/IAEA,1082
10,Aktau (Shevchenko),43.607000,51.283000,Kazakhstan,KZ,Shutdown,FBR,BN-350,1964-10-01,1973-07-16,1999-04-22,52,2021-10-01T00:14:53+03:00,WNA/IAEA,414
11,Almaraz-1,39.807000,-5.698000,Spain,ES,Operational,PWR,WH 3LP,1973-07-03,1983-09-01,,900,2017-02-10T23:56:15+02:00,WNA/IAEA,153
12,Almaraz-2,39.807000,-5.698000,Spain,ES,Operational,PWR,WH 3LP,1973-07-03,1984-07-01,,900,2019-06-02T20:17:55+03:00,WNA/IAEA,154
13,Angra-1,-23.008000,-44.457000,Brazil,BR,Operational,PWR,WH 2LP,1971-05-01,1985-01-01,,609,2021-02-14T03:47:53+02:00,WNA/IAEA,24
14,Angra-2,-23.008000,-44.457000,Brazil,BR,Operational,PWR,PRE KONVOI,1976-01-01,2001-02-01,,1245,2015-05-24T04:50:19+03:00,WNA/IAEA,25
15,Angra-3,-23.010000,-44.470000,Brazil,BR,Under Construction,PWR,PRE KONVOI,2010-05-30,,,1340,2023-08-28T08:01:45+03:00,WNA/IAEA,26
16,APS-1 Obninsk,55.084000,36.570000,Russia,RU,Shutdown,LWGR,AM-1,1951-01-01,1954-12-01,2002-04-29,5,2015-05-24T04:51:32+03:00,WNA/IAEA,447
17,Arkansas Nuclear One-1 (ANO-1),35.310000,-93.230000,United States,US,Operational,PWR,B&W LLP (DRYAMB),1968-10-01,1974-12-19,,850,2017-02-10T23:58:30+02:00,WNA/IAEA,652
18,Arkansas Nuclear One-2 (ANO-2),35.310000,-93.229000,United States,US,Operational,PWR,CE 2LP (DRYAMB),1968-12-06,1980-03-26,,912,2017-02-10T23:58:53+02:00,WNA/IAEA,689
19,Armenian-1,40.182000,44.147000,Armenia,AM,Shutdown,PWR,VVER V-270,1969-07-01,1977-10-06,1989-02-25,376,2021-06-07,WNA/IAEA,1
20,Armenian-2,40.182000,44.147000,Armenia,AM,Operational,PWR,VVER V-270,1975-07-01,1980-05-03,,375,2021-06-29T00:12:17+03:00,WNA/IAEA,2
21,Armenian-3,40.180800,44.147200,Armenia,AM,Planned,PWR,,,,,,2021-06-07,WNA,
22,Asco-1,41.202000,0.571000,Spain,ES,Operational,PWR,WH 3LP,1974-05-16,1984-12-10,,888,2023-08-28T08:01:45+03:00,WNA/IAEA,155
23,Asco-2,41.202000,0.571000,Spain,ES,Operational,PWR,WH 3LP,1975-03-07,1986-03-31,,888,2023-08-28T08:01:45+03:00,WNA/IAEA,156
24,Atucha-1,-33.967000,-59.209000,Argentina,AR,Operational,PHWR,PHWR KWU,1968-05-31,1974-06-23,,319,2024-03-03T20:43:43+02:00,WNA/IAEA,3
25,Atucha-2,-33.967000,-59.209000,Argentina,AR,Operational,PHWR,PHWR KWU,1981-07-13,2016-05-25,,692,2023-08-28T08:01:45+03:00,WNA/IAEA,5
26,Balakovo-1,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,1980-12-01,1986-05-23,,950,2015-05-24T04:51:36+03:00,WNA/IAEA,524
27,Balakovo-2,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,1981-08-01,1988-01-18,,950,2015-05-24T04:51:36+03:00,WNA/IAEA,525
28,Balakovo-3,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,1982-11-01,1989-04-08,,950,2015-05-24T04:51:36+03:00,WNA/IAEA,526
29,Balakovo-4,52.092000,47.952000,Russia,RU,Operational,PWR,VVER V-320,1984-04-01,1993-12-22,,950,2015-05-24T04:51:36+03:00,WNA/IAEA,527
30,Baltic-1,54.939000,22.162000,Russia,RU,Under Construction,PWR,VVER V-491,2012-02-22,,,1109,2015-05-24T04:51:57+03:00,WNA/IAEA,968
31,Barakah-1 (Braka),23.952748,52.193298,United Arab Emirates,AE,Operational,PWR,APR-1400,2012-07-19,2021-04-01,,1310,2023-08-28T08:01:45+03:00,WNA/IAEA,1050
