Id,Name,Latitude,Longitude,CountryCode,StatusId,ReactorTypeId,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,Source,LastUpdatedAt,IAEAId
1,Ågesta,59.206000,18.082900,SE,5,20,,1957-12-01,1964-05-01,1974-06-02,9,WNA/IAEA,2015-05-24T04:51:37+03:00,528
2,Akademik Lomonosov-1,69.709579,170.306250,RU,3,21,KLT-40S 'Floating',2007-04-15,2020-05-22,,30,WNA/IAEA/Google Maps,2021-05-31,895
3,Akademik Lomonosov-2,69.709579,170.306250,RU,3,21,KLT-40S 'Floating',2007-04-15,2020-05-22,,30,WNA/IAEA/Google Maps,2021-05-31,896
4,Akhvaz-1,,,IR,1,,,,,,,WNA,,
5,Akhvaz-2,,,IR,1,,,,,,,WNA,,
6,Akkuyu-1,36.144444,33.541111,TR,2,21,VVER V-509,2018-04-03,,,1114,WNA/Wikipedia/IAEA,2018-07-01T01:21:08+03:00,553
7,Akkuyu-2,36.144444,33.541111,TR,2,21,VVER V-509,2020-04-08,,,1114,Wikipedia/IAEA,2020-08-31T01:39:56+03:00,1080
8,Akkuyu-3,36.144444,33.541111,TR,2,21,VVER V-509,2021-03-10,,,1114,Wikipedia/IAEA,2021-04-20T02:47:37+03:00,1081
9,Akkuyu-4,36.144444,33.541111,TR,1,21,,,,,,Wikipedia,,
10,Aktau (Shevchenko),43.607000,51.283000,KZ,5,7,BN-350,1964-10-01,,1999-04-22,52,WNA/IAEA,2021-04-20T02:47:37+03:00,414
11,Almaraz-1,39.807000,-5.698000,ES,3,21,WH 3LP,1973-07-03,1983-09-01,,900,WNA/IAEA,2017-02-10T23:56:15+02:00,153
12,Almaraz-2,39.807000,-5.698000,ES,3,21,WH 3LP,1973-07-03,1984-07-01,,900,WNA/IAEA,2019-06-02T20:17:55+03:00,154
13,Angra-1,-23.008000,-44.457000,BR,3,21,WH 2LP,1971-05-01,1985-01-01,,609,WNA/IAEA,2021-02-14T03:47:53+02:00,24
14,Angra-2,-23.008000,-44.457000,BR,3,21,PRE KONVOI,1976-01-01,2001-02-01,,1245,WNA/IAEA,2015-05-24T04:50:19+03:00,25
15,Angra-3,-23.010000,-44.470000,BR,2,21,PRE KONVOI,2010-06-01,,,1340,WNA/IAEA,2018-07-01T01:21:29+03:00,26
16,APS-1 Obninsk,55.084000,36.570000,RU,5,17,AM-1,1951-01-01,1954-12-01,2002-04-29,5,WNA/IAEA,2015-05-24T04:51:32+03:00,447
17,Arkansas Nuclear One-1 (ANO-1),35.310000,-93.230000,US,3,21,B&W LLP (DRYAMB),1968-10-01,1974-12-19,,850,WNA/IAEA,2017-02-10T23:58:30+02:00,652
18,Arkansas Nuclear One-2 (ANO-2),35.310000,-93.229000,US,3,21,CE 2LP (DRYAMB),1968-12-06,1980-03-26,,912,WNA/IAEA,2017-02-10T23:58:53+02:00,689
19,Armenian-1,40.182000,44.147000,AM,5,21,VVER V-270,1969-07-01,1977-10-06,1989-02-25,376,WNA/IAEA,2021-06-07,1
20,Armenian-2,40.182000,44.147000,AM,3,21,VVER V-270,1975-07-01,1980-05-03,,375,WNA/IAEA,2021-06-29T00:12:17+03:00,2
21,Armenian-3,40.180800,44.147200,AM,1,21,,,,,,WNA,2021-06-07,
22,Asco-1,41.202000,0.571000,ES,3,21,WH 3LP,1974-05-16,1984-12-10,,995,WNA/IAEA,2021-01-06T01:19:47+02:00,155
23,Asco-2,41.202000,0.571000,ES,3,21,WH 3LP,1975-03-07,1986-03-31,,997,WNA/IAEA,2021-04-20T02:47:37+03:00,156
24,Atucha-1,-33.967000,-59.209000,AR,3,20,PHWR KWU,1968-06-01,1974-06-24,,340,WNA/IAEA,2021-02-14T03:47:53+02:00,3
25,Atucha-2,-33.967000,-59.209000,AR,3,20,PHWR KWU,1981-07-14,2016-05-26,,692,WNA/IAEA,2017-09-25T03:19:13+03:00,5
26,Balakovo-1,52.092000,47.952000,RU,3,21,VVER V-320,1980-12-01,1986-05-23,,950,WNA/IAEA,2015-05-24T04:51:36+03:00,524
27,Balakovo-2,52.092000,47.952000,RU,3,21,VVER V-320,1981-08-01,1988-01-18,,950,WNA/IAEA,2015-05-24T04:51:36+03:00,525
28,Balakovo-3,52.092000,47.952000,RU,3,21,VVER V-320,1982-11-01,1989-04-08,,950,WNA/IAEA,2015-05-24T04:51:36+03:00,526
29,Balakovo-4,52.092000,47.952000,RU,3,21,VVER V-320,1984-04-01,1993-12-22,,950,WNA/IAEA,2015-05-24T04:51:36+03:00,527
30,Baltic-1,54.939000,22.162000,RU,2,21,VVER V-491,2012-02-22,,,1109,WNA/IAEA,2015-05-24T04:51:57+03:00,968
31,Barakah-1 (Braka),23.952748,52.193298,AE,3,21,APR-1400,2012-07-19,2021-04-01,,1345,WNA/IAEA,2021-05-30T17:38:32+03:00,1050
32,Barakah-2 (Braka),23.952748,52.193298,AE,2,21,APR-1400,2013-04-16,,,1345,WNA/IAEA,2015-12-27T17:05:52+02:00,1051
33,Barakah-3 (Braka),23.952748,52.203298,AE,2,21,APR-1400,2014-09-24,,,1345,WNA/IAEA,2015-05-24T04:51:58+03:00,1052
34,Chutka-1,,,IN,1,20,,,,,,WNA,2021-06-07,
35,Chutka-2,,,IN,1,20,,,,,,WNA,2021-06-07,
36,Barseback-1,55.745000,12.926000,SE,5,5,AA-II,1971-02-01,1975-07-01,1999-11-30,570,WNA/IAEA,2018-03-10T14:52:00+02:00,538
37,Barseback-2,55.745000,12.926000,SE,5,5,AA-II,1973-01-01,1977-07-01,2005-05-31,570,WNA/IAEA,2018-03-10T14:52:02+02:00,540
38,Beaver Valley-1,40.624000,-80.432000,US,3,21,WH 3LP (DRYSUB),1970-06-26,1976-10-01,,835,WNA/IAEA,2017-02-10T23:58:44+02:00,669
39,Beaver Valley-2,40.624000,-80.432000,US,3,21,WH 3LP (DRYSUB),1974-05-03,1987-11-17,,836,WNA/IAEA,2017-02-10T23:58:59+02:00,712
40,Belarusian-1,54.766667,26.116667,BY,3,21,VVER V-491,2013-11-08,,,1110,IAEA,2021-01-06T01:19:47+02:00,1056
41,Belarusian-2,54.766667,26.116667,BY,2,21,VVER V-491,2014-04-27,,,1110,IAEA,2018-03-10T14:54:39+02:00,1061
42,Belene-1,43.624530,25.186750,BG,9,21,,1987-01-01,,,953,WNA/IAEA,2021-02-14T00:57:00+02:00,
43,Belene-2,43.624530,25.186500,BG,9,21,,1987-03-31,,,953,WNA/IAEA,2021-02-14T00:57:00+02:00,
44,Belleville-1,47.511000,2.871000,FR,3,21,P4 REP 1300,1980-05-01,1988-06-01,,1310,WNA/IAEA,2015-05-24T04:51:02+03:00,211
45,Belleville-2,47.511000,2.871000,FR,3,21,P4 REP 1300,1980-08-01,1989-01-01,,1310,WNA/IAEA,2015-05-24T04:51:02+03:00,212
46,Beloyarsk-1,56.842000,61.321000,RU,5,17,AMB-100,1958-06-01,1964-04-26,1983-01-01,102,WNA/IAEA,2015-05-24T04:51:34+03:00,488
47,Beloyarsk-2,56.842000,61.321000,RU,5,17,AMB-200,1962-01-01,1969-12-01,1990-01-01,146,WNA/IAEA,2015-05-24T04:51:35+03:00,503
48,Beloyarsk-3,56.842000,61.321000,RU,3,7,BN-600,1969-01-01,1981-11-01,,560,WNA/IAEA,2015-05-24T04:51:34+03:00,484
49,Beloyarsk-4,56.842000,61.321000,RU,3,7,BN-800,2006-07-18,2016-10-31,,820,WNA/IAEA,2017-09-25T03:19:53+03:00,451
50,Beloyarsk-5,56.842000,61.321000,RU,1,7,BN-1200,,,,,WNA/Wikipedia,,
51,Berkeley-1,51.692000,-2.494000,GB,5,8,MAGNOX,1957-01-01,1962-06-12,1989-03-31,138,WNA/IAEA,2015-05-24T04:51:19+03:00,264
52,Berkeley-2,51.692000,-2.494000,GB,5,8,MAGNOX,1957-01-01,1962-10-20,1988-10-26,138,WNA/IAEA,2015-05-24T04:51:19+03:00,265
53,Beznau-1,47.552000,8.229000,CH,3,21,WH 2LP,1965-09-01,1969-12-09,,365,WNA/IAEA,2021-01-06T01:19:47+02:00,55
54,Beznau-2,47.552000,8.229000,CH,3,21,WH 2LP,1968-01-01,1972-03-04,,365,WNA/IAEA,2021-02-14T03:47:53+02:00,57
55,Biblis-A,49.709000,8.415000,DE,5,21,PWR,1970-01-01,1975-02-26,2011-08-06,1146,WNA/IAEA,2015-05-24T04:50:42+03:00,85
56,Biblis-B,49.709000,8.415000,DE,5,21,PWR,1972-02-01,1977-01-31,2011-08-06,1178,WNA/IAEA,2015-05-24T04:50:42+03:00,91
57,Big Rock Point,45.359000,-85.195000,US,5,5,,1960-05-01,1963-03-29,1997-08-29,72,WNA/IAEA,2015-05-24T04:51:41+03:00,601
58,Bilibino-1,68.059000,166.492000,RU,5,17,EGP-6,1970-01-01,1974-04-01,2019-01-14,11,WNA/IAEA,2019-06-02T20:18:07+03:00,467
59,Bilibino-2,68.059000,166.492000,RU,3,17,EGP-6,1970-01-01,1975-02-01,,11,WNA/IAEA,2015-05-24T04:51:32+03:00,468
60,Bilibino-3,68.059000,166.492000,RU,3,17,EGP-6,1970-01-01,1976-02-01,,11,WNA/IAEA,2015-05-24T04:51:32+03:00,469
61,Bilibino-4,68.059000,166.492000,RU,3,17,EGP-6,1970-01-01,1977-01-01,,11,WNA/IAEA,2015-05-24T04:51:33+03:00,470
62,Blayais-1,45.256000,-0.691000,FR,3,21,CP1,1977-01-01,1981-12-01,,910,WNA/IAEA,2015-05-24T04:50:53+03:00,187
63,Blayais-2,45.256000,-0.691000,FR,3,21,CP1,1977-01-01,1983-02-01,,910,WNA/IAEA,2015-05-24T04:50:54+03:00,188
64,Blayais-3,45.256000,-0.691000,FR,3,21,CP1,1978-04-01,1983-11-14,,910,WNA/IAEA,2015-05-24T04:50:54+03:00,189
65,Blayais-4,45.256000,-0.691000,FR,3,21,CP1,1978-04-01,1983-10-01,,910,WNA/IAEA,2015-05-24T04:50:54+03:00,190
66,Bohunice-1,48.494000,17.687000,SK,5,21,VVER V-230,1972-04-24,1980-04-01,2006-12-31,408,WNA/IAEA,2015-05-24T04:51:38+03:00,548
67,Bohunice-2,48.494000,17.687000,SK,5,21,VVER V-230,1972-04-24,1981-01-01,2008-12-31,408,WNA/IAEA,2015-05-24T04:51:38+03:00,549
68,Bohunice-3,48.494000,17.687000,SK,3,21,VVER V-213,1976-12-01,1985-02-14,,466,WNA/IAEA,2021-02-14T03:47:53+02:00,546
69,Bohunice-4,48.494000,17.687000,SK,3,21,VVER V-213,1976-12-01,1985-12-18,,466,WNA/IAEA,2021-02-14T03:47:53+02:00,547
70,Bohunice-A1,48.494000,17.687000,SK,5,11,KS 150,1958-08-01,1972-12-25,1977-02-22,110,WNA/IAEA,2015-05-24T04:51:38+03:00,543
71,BONUS,18.365000,-67.268000,US,5,5,Superheater,1960-01-01,1965-09-01,1968-06-01,17,WNA/IAEA,2021-06-06,703
72,Borssele,51.431000,3.719000,NL,3,21,KWU 2LP,1969-07-01,1973-10-26,,495,WNA/IAEA,2017-02-10T23:57:03+02:00,423
73,BR-3,51.217000,5.099000,BE,5,21,Prototype,1957-11-01,1962-10-10,1987-06-30,11,WNA/IAEA,2015-05-24T04:50:07+03:00,8
74,Bradwell-1,51.742000,0.899000,GB,5,8,MAGNOX,1957-01-01,1962-07-01,2002-03-31,150,WNA/IAEA,2015-05-24T04:51:19+03:00,266
75,Bradwell-2,51.742000,0.899000,GB,5,8,MAGNOX,1957-01-01,1962-11-12,2002-03-30,150,WNA/IAEA,2015-05-24T04:51:19+03:00,267
76,Braidwood-1,41.247000,-88.230000,US,3,21,WH 4LP (DRYAMB),1975-08-01,1988-07-29,,1120,WNA/IAEA,2017-02-10T23:59:18+02:00,737
77,Braidwood-2,41.247000,-88.230000,US,3,21,WH 4LP (DRYAMB),1975-08-01,1988-10-17,,1120,WNA/IAEA,2017-02-10T23:59:19+02:00,738
79,Brokdorf,53.850000,9.345000,DE,3,21,PWR,1976-01-01,1986-12-22,,1307,WNA/IAEA,2015-05-24T04:50:46+03:00,107
80,Browns Ferry-1,34.704000,-87.119000,US,3,5,BWR-4 (Mark 1),1967-05-01,1974-08-01,,1065,WNA/IAEA,2015-05-24T04:51:42+03:00,617
81,Browns Ferry-2,34.704000,-87.119000,US,3,5,BWR-4 (Mark 1),1967-05-01,1975-03-01,,1065,WNA/IAEA,2015-05-24T04:51:42+03:00,618
82,Browns Ferry-3,34.704000,-87.119000,US,3,5,BWR-4 (Mark 1),1968-07-01,1977-03-01,,1065,WNA/IAEA,2015-05-24T04:51:43+03:00,641
83,Bruce-1,44.341000,-81.572000,CA,3,20,CANDU 791,1971-06-01,1977-09-01,,774,WNA/IAEA,2021-04-20T02:47:37+03:00,53
84,Bruce-2,44.341000,-81.572000,CA,3,20,CANDU 791,1970-12-01,1977-09-01,,777,WNA/IAEA,2021-04-20T02:47:37+03:00,54
